'0', '0', 'Header', '1', '1', '480', '0'
'1', '0', 'Start_track', '0', '0', '0', '0'
'1', '0', 'Time_signature', '4', '2', '24', '8'
'1', '0', 'Key_signature', '0', '"major"', '0', '0'
'1', '0', 'Tempo', '500000', '0', '0', '0'
'1', '0', 'Control_c', '0', '121', '0', '0'
'1', '0', 'Program_c', '0', '68', '0', '0'
'1', '0', 'Control_c', '0', '7', '100', '0'
'1', '0', 'Control_c', '0', '10', '64', '0'
'1', '0', 'Control_c', '0', '91', '0', '0'
'1', '0', 'Control_c', '0', '93', '0', '0'
'1', '0', 'MIDI_port', '0', '0', '0', '0'
'1', '1', 'End_track', '0', '0', '0', '0'
'0', '0', 'End_of_file', '0', '0', '0', '0'
